@relation XYdata

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class {1, 2}

@data
0.832478,0.47938,0.037374,1
-1.003431,0.209286,-0.114654,1
0.880938,0.404217,0.046729,1
-1.022332,0.386776,0.005783,1
0.658643,0.752176,-0.099064,1
-0.830638,0.64091,0.013884,1
0.859739,0.451837,-0.013783,1
1.013566,0.210676,0.029009,1
0.921619,0.295547,-0.126177,1
0.820203,0.813308,0.189454,1
-0.660019,0.62581,0.175494,1
0.628487,0.414343,-0.007702,1
-0.340987,1.04142,-0.098794,1
-0.30504,1.031562,0.030506,1
-0.832472,0.423134,-0.079699,1
0.975622,0.016862,-0.110105,1
0.70236,0.950683,0.143407,1
0.067425,1.089646,-0.140728,1
1.026891,0.017434,0.049686,1
0.051929,1.024851,0.168465,1
-0.661533,0.65575,0.019302,1
-0.56578,0.881899,-0.0278,1
-0.859819,0.157051,-0.083926,1
-0.575993,0.724701,-0.072944,1
-0.125809,0.852143,-0.050461,1
0.63707,0.887256,0.002503,1
-0.187787,0.931131,-0.113574,1
-0.252981,1.002363,0.091103,1
-0.706189,0.914027,-0.154615,1
-0.68163,0.70713,0.026693,1
0.585066,0.876808,0.101012,1
0.559825,0.597992,-0.132256,1
0.91429,0.369951,-0.215241,1
-0.986411,0.216761,0.093922,1
-0.504227,0.806283,0.23118,1
-0.399913,0.836883,0.058417,1
0.003909,0.974959,0.031129,1
-0.315733,0.889832,-0.115551,1
0.216658,0.939685,0.078904,1
-1.041496,0.158116,0.033199,1
0.866999,0.186162,0.092646,1
-0.768579,0.553866,0.182788,1
0.276365,0.897756,-0.209642,1
0.876076,0.514249,0.088457,1
0.299019,0.877865,-0.018934,1
-1.018435,0.245431,-0.101102,1
1.018013,0.310234,-0.011832,1
-0.470345,0.979027,-0.09201,1
-0.237123,1.031342,-0.156325,1
0.425242,-0.054631,0.086479,2
0.117468,0.350414,-0.023961,2
0.7438,-0.493924,-0.136771,2
0.973123,-0.462659,-0.101394,2
0.002962,0.07095,-0.067116,2
0.400436,-0.138652,-0.127362,2
1.064637,-0.632595,-0.096515,2
-0.094881,0.298111,0.05742,2
1.190874,-0.373791,0.212435,2
0.014272,0.320489,-0.040114,2
-0.110807,0.092728,0.043017,2
1.89714,0.701862,0.070704,2
0.734357,-0.722213,-0.033489,2
0.181116,-0.072771,-0.022882,2
1.383947,-0.252556,0.036436,2
2.014516,0.564944,0.123846,2
0.134422,0.028515,0.171978,2
0.668017,-0.487498,-0.011283,2
1.591218,-0.56134,0.100448,2
2.067779,0.082731,0.118283,2
-0.02504,0.272667,-0.073254,2
1.495475,-0.321033,0.026958,2
1.710972,-0.164317,0.015955,2
1.858814,0.182861,0.085947,2
0.53027,-0.226927,0.037669,2
2.098008,0.119955,0.160653,2
1.420329,-0.19884,0.098741,2
1.438077,-0.533705,-0.012519,2
0.159791,-0.044002,0.049268,2
0.593709,-0.346736,0.040987,2
0.086833,0.180167,0.093446,2
1.797924,-0.212638,0.078187,2
1.259701,-0.340328,0.029815,2
0.563783,-0.155634,-0.027141,2
0.626653,-0.58337,-0.081324,2
0.909938,-0.552219,0.043002,2
2.038065,0.149325,0.0813,2
1.649035,-0.35679,-0.17332,2
1.603325,-0.307167,-0.064429,2
1.564064,-0.200652,-0.093383,2
0.654568,-0.349649,-0.060907,2
1.509387,-0.263261,0.165047,2
0.56724,-0.304874,0.055913,2
-0.238612,0.230859,-0.093049,2
0.589869,-0.357196,0.202264,2
0.237638,0.253433,-0.187227,2
1.754924,-0.266038,-0.065563,2
0.47508,-0.311361,-0.042738,2
1.11728,-0.641508,0.166242,2
0.005698,0.167818,-0.072956,2
2.056755,-0.107688,0.084455,2
0.811708,-0.473758,0.141496,2
0.267764,0.227917,0.017715,2
1.037429,-0.667482,0.175171,2
1.608559,-0.342552,0.162446,2
-0.014191,0.130413,-0.098224,2
1.56972,-0.350638,0.042487,2
0.266339,-0.210153,-0.232696,2
1.459792,-0.218074,0.032238,2
1.395632,-0.401829,0.018121,2
0.067677,0.225499,-0.143378,2
1.607305,-0.286617,0.125265,2
1.215238,-0.585426,-0.006715,2
0.004134,0.023409,-0.014941,2
1.787174,-0.252372,0.085346,2
0.988132,-0.571008,-0.004446,2
0.150602,-0.05513,0.054225,2
0.247461,0.262768,-0.105446,2
1.982794,0.36469,-0.015125,2
1.751734,-0.164927,-0.017334,2
0.738887,-0.614411,0.024656,2
0.266668,-0.195511,0.046778,2
2.012046,0.030094,0.133528,2
-0.099791,0.171456,0.134195,2
1.118176,-0.26771,-0.048571,2
1.94351,0.392597,-0.116165,2
0.287698,-0.167838,-0.006566,2
1.877158,0.327322,-0.186702,2
1.906873,0.020824,-0.057295,2
-0.153408,0.527655,0.169045,2
1.527298,-0.529597,-0.034915,2
0.155336,0.027198,-0.110599,2
0.1331,0.28613,0.155502,2
1.749269,0.012795,-0.033779,2
1.898878,-0.004391,-0.072538,2
0.363713,-0.122527,-0.09353,2
0.007873,0.105183,-0.072511,2
1.058479,-0.23138,0.06124,2
1.771196,-0.176418,-0.034039,2
0.625539,-0.337651,0.065256,2
1.661739,-0.133495,0.025582,2
1.47056,-0.387789,0.066027,2
2.117752,0.434093,0.086437,2
-0.030691,0.248393,-0.103452,2
0.3338,-0.330977,-0.032913,2
1.796793,0.066657,0.074071,2
0.187164,-0.260415,0.157179,2
2.085554,0.449887,0.050154,2
0.9878,-0.615625,-0.287304,2
1.624732,-0.297343,-0.141615,2
1.514619,-0.524742,0.169798,2
1.26009,-0.595493,-0.006967,2
1.515707,-0.268456,-0.104448,2
-0.007738,-0.086809,-0.208132,2
0.302463,-0.196095,-0.047893,2
0.258854,0.070264,0.022225,2
0.718917,-0.484356,-0.010656,2
0.457145,-0.454364,0.104521,2
2.002918,0.346655,0.034857,2
1.619663,-0.335151,-0.064738,2
1.885167,0.361888,0.197757,2
-0.094684,0.181162,-0.059004,2
0.175829,-0.119884,0.150376,2
1.705354,-0.304609,-0.203662,2
2.115772,0.294688,0.134785,2
0.291426,-0.172883,0.122506,2
1.740862,-0.064985,0.088606,2
0.559618,-0.328444,0.123494,2
1.533584,-0.355175,-0.049618,2
0.266177,-0.17053,-0.004658,2
1.818823,-0.006635,-0.156671,2
1.617314,0.045041,0.100194,2
2.041228,0.407664,0.18448,2
0.789979,-0.407771,-0.033803,2
-0.026418,0.271872,-0.021432,2
1.946597,0.19712,0.162146,2
0.0194,0.010631,-0.063917,2
1.616394,-0.287753,-0.01978,2
0.462602,-0.398051,0.139151,2
1.800083,-0.233994,-0.074359,2
1.174012,-0.421154,0.006567,2
0.996484,-0.537048,-0.072056,2
1.826062,0.156816,0.136622,2
0.205473,-0.141044,-0.031605,2
1.145771,-0.549767,0.108319,2
0.187123,0.156329,-0.264819,2
0.558802,-0.432138,0.048139,2
2.038991,0.573466,-0.054821,2
0.055451,0.469564,0.116377,2
0.530878,-0.576802,0.13763,2
1.463652,-0.322449,0.029569,2
1.994785,-0.03057,-0.061393,2
0.127022,0.029136,-0.027511,2
0.758206,-0.734098,0.14089,2
-0.180738,0.59389,-0.005519,2
1.877413,0.088973,0.062838,2
0.332603,-0.201662,0.09981,2
-0.009965,0.223244,0.158506,2
1.995809,0.291237,0.089911,2
0.746912,-0.367302,-0.014414,2
0.637142,-0.706347,-0.014757,2
0.098051,0.242269,-0.076001,2
1.710156,-0.080268,-0.116656,2
1.75021,-0.129116,-0.024075,2
1.718114,-0.473862,0.103648,2
0.28355,-0.2343,0.192297,2
-0.011264,-0.009367,-0.065108,2
0.138494,0.289197,0.057165,2
0.030919,0.266235,-0.094021,2
0.392566,-0.131744,0.047322,2
1.044594,-0.364778,-0.087315,2
1.006178,-0.484431,0.042753,2
2.053447,0.418978,0.04619,2
2.019774,0.135158,0.053888,2
1.834969,-0.065935,0.111736,2
1.307003,-0.397004,0.129673,2
0.52555,-0.21128,0.145542,2
1.38189,-0.372726,0.146695,2
0.824904,-0.554918,-0.002774,2
1.806192,0.462012,-0.038162,2
1.688831,-0.076813,0.003364,2
0.106727,0.407792,-0.130087,2
1.344412,-0.386645,0.121445,2
1.828685,0.353395,0.095493,2
1.652441,-0.293568,0.022177,2
1.640495,-0.195989,0.076059,2
0.98216,-0.438123,-0.064497,2
1.517956,-0.355925,-0.021633,2
1.904332,0.495748,-0.135833,2
2.047546,0.430131,0.00977,2
1.178312,-0.567448,-0.204676,2
0.67208,-0.316572,0.162334,2
0.10826,-0.054791,-0.076424,2
1.843191,-0.244947,-0.040352,2
0.103254,0.09472,0.000009,2
1.544435,-0.391424,-0.098977,2
0.334802,-0.250523,0.115814,2
-0.060161,0.482488,-0.042556,2
0.399236,-0.19761,-0.17549,2
1.547311,-0.376477,-0.006813,2
0.598718,-0.455973,0.088145,2
-0.042344,0.156625,-0.016961,2
0.234401,-0.097751,-0.101177,2
1.976159,0.350776,0.102112,2
1.813345,-0.143011,0.017423,2
0.288222,0.002957,-0.049636,2
1.292017,-0.639576,0.066621,2
1.760597,0.104921,0.057693,2
2.01918,0.38112,-0.030817,2
1.755683,-0.266197,0.087045,2
1.284407,-0.398579,-0.092739,2
1.955776,0.312351,-0.062435,2
0.435788,-0.266445,-0.044892,2
0.401448,-0.338977,0.14799,2
0.381202,-0.23334,-0.019844,2
1.996761,-0.036308,0.106086,2
1.880537,-0.052776,-0.004124,2
1.471966,-0.40563,0.11553,2
0.740358,-0.386691,-0.10703,2
0.391518,-0.033673,0.197871,2
0.294521,-0.237736,0.08095,2
0.29899,-0.320335,-0.019566,2
1.895468,0.125753,0.109935,2
1.695657,-0.04425,-0.207359,2
0.119827,0.437745,0.047489,2
0.799601,-0.515369,0.053205,2
1.839735,-0.025368,-0.060256,2
1.660151,-0.239486,0.044553,2
1.72318,-0.382929,0.176442,2
1.06603,-0.446512,0.077049,2
0.777726,-0.511199,0.002706,2
1.505758,-0.360412,0.094293,2
1.83158,0.073842,-0.039172,2
0.488379,-0.258213,-0.097291,2
2.009894,0.406235,0.018812,2
1.917438,-0.049658,-0.026171,2
1.538688,-0.335835,0.086306,2
0.142797,-0.12289,-0.085259,2
1.976806,0.058065,-0.061265,2
0.810459,-0.357105,-0.054256,2
0.119695,-0.015795,-0.103336,2
-0.034994,0.461415,0.100279,2
1.693864,-0.209907,-0.075696,2
1.997785,0.363523,-0.010745,2
0.302069,0.071733,0.019456,2
0.212691,-0.258781,-0.050208,2
0.113578,0.090804,0.201333,2
1.723669,-0.359642,0.111292,2
0.463636,-0.434726,-0.07815,2
1.55355,-0.600421,-0.117256,2
0.491938,-0.346507,0.050041,2
0.483638,-0.351164,-0.147898,2
-0.161142,0.228555,-0.160904,2
0.540245,-0.517853,-0.058488,2
1.928151,0.096357,-0.100395,2
0.149463,-0.145333,-0.13745,2
1.100124,-0.336733,-0.240401,2
1.186128,-0.398392,-0.027955,2
1.878091,-0.251069,-0.018264,2
1.868025,-0.148112,0.034099,2
1.989694,0.414251,0.030808,2
1.483964,-0.416515,-0.004748,2
-0.047874,0.063558,0.060043,2
1.115712,-0.409444,0.10175,2
1.605278,-0.315802,0.224272,2
0.54994,-0.225476,0.125068,2
1.684992,-0.456521,0.114999,2
0.522357,-0.226789,-0.062799,2
1.020068,-0.558861,0.187583,2
0.771573,-0.698642,-0.069169,2
1.752424,-0.084723,-0.08727,2
1.578475,-0.237327,0.031699,2
2.042586,0.189786,0.020072,2
0.039632,0.483809,-0.219055,2
1.776287,-0.0888,0.05863,2
0.14158,0.191367,-0.090855,2
1.805622,0.395514,-0.077487,2
0.316444,-0.038495,-0.128982,2
0.265671,-0.092767,0.198455,2
0.090699,0.498311,-0.108281,2
0.640516,-0.529944,0.0868,2
0.698418,-0.520875,-0.097497,2
0.18334,-0.152568,0.07641,2
1.948055,0.032274,0.03756,2
0.003821,0.209421,0.053516,2
0.227809,-0.282426,-0.069621,2
1.556278,-0.396614,-0.066734,2
0.459726,-0.276748,0.032422,2
-0.009417,0.004878,0.002831,2
0.21772,0.066782,0.014789,2
1.275667,-0.471914,-0.037545,2
1.768451,-0.164142,0.106642,2
0.152795,0.028368,-0.08059,2
1.541114,-0.256834,-0.255779,2
0.02638,0.405162,-0.01821,2
0.399347,-0.41136,-0.089418,2
1.019828,-0.417263,0.032539,2
1.450932,-0.168545,-0.079338,2
0.119119,-0.116853,0.014068,2
0.177742,-0.132588,0.147641,2
0.211872,-0.106467,0.014156,2
1.647659,-0.255161,0.115567,2
0.146557,0.163115,-0.011485,2
2.136728,0.293423,-0.041227,2
1.725713,-0.098018,0.128391,2
0.077434,-0.035543,-0.138996,2
1.129632,-0.390951,0.101573,2
1.772708,0.029218,0.049467,2
0.787713,-0.421227,0.225917,2
0.076033,0.194335,0.038609,2
-0.083903,0.371494,-0.063719,2
0.193196,0.090592,-0.051942,2
1.059328,-0.542835,0.07688,2
1.823664,0.167424,0.110283,2
-0.169871,0.312353,-0.051832,2
1.219505,-0.49815,0.004398,2
1.642069,-0.110325,-0.071946,2
1.873105,-0.154935,0.026958,2
1.86888,0.360595,0.022603,2
1.367538,-0.542722,-0.164095,2
0.921403,-0.579346,-0.083123,2
0.214339,-0.076658,-0.059839,2
1.660026,-0.126929,-0.067887,2
1.480268,-0.116801,0.000466,2
0.011716,0.461986,-0.070288,2
1.735887,-0.135284,0.053726,2
1.149753,-0.646112,0.069803,2
1.234241,-0.505406,-0.131049,2
0.710679,-0.215207,0.066424,2
1.020506,-0.467735,0.056898,2
1.939825,0.484233,0.095109,2
1.839255,0.116658,-0.095675,2
0.445341,-0.447927,0.070677,2
0.530387,-0.41929,0.01324,2
0.785622,-0.589735,-0.002954,2
1.250968,-0.549285,0.035352,2
1.843191,0.192342,-0.09027,2
1.282895,-0.627975,0.011178,2
1.586936,-0.203554,-0.034358,2
1.850708,0.397003,-0.020454,2
0.261499,-0.024516,-0.196053,2
0.848715,-0.39869,0.333957,2
0.194843,0.056046,-0.167692,2
0.387305,-0.28835,-0.106418,2
-0.066857,0.11062,0.084871,2
1.584252,-0.298884,0.002467,2
0.867538,-0.563863,-0.087371,2
0.802096,-0.579579,-0.051494,2
1.479822,0.036759,0.011107,2
1.79265,0.066278,0.012711,2
1.786872,0.364988,0.045168,2
1.827944,0.32263,0.062582,2
1.653341,-0.200838,-0.047941,2
1.793688,-0.048697,-0.053286,2
1.773758,-0.470597,-0.074573,2
1.606159,-0.092811,0.090811,2
1.897243,0.046455,-0.074459,2
1.678127,-0.305729,0.09476,2
-0.096149,0.507789,-0.057987,2
1.968064,0.400906,0.155442,2
0.983247,-0.546533,-0.041882,2
1.848466,0.250475,0.056381,2
0.970208,-0.418861,-0.023453,2
0.117862,-0.23527,-0.042317,2
2.087626,0.046149,0.038258,2
0.037969,0.07375,0.116501,2
1.566404,-0.272277,0.026256,2
0.526391,-0.110187,0.011225,2
0.654355,-0.438292,0.003407,2
0.595794,-0.490374,-0.035141,2
0.032187,-0.01645,0.105918,2
1.300278,-0.556912,0.064029,2
1.062234,-0.526891,-0.244915,2
1.047719,-0.473897,-0.068177,2
-0.002871,-0.210121,0.091913,2
1.378143,-0.479116,0.032722,2
-0.012103,0.419545,0.019651,2
-0.099683,0.363718,-0.114728,2
1.881085,-0.084978,0.002574,2
1.945459,0.050352,-0.064334,2
1.548906,-0.14842,-0.059045,2
1.422459,-0.437701,0.011972,2
0.688403,-0.343878,-0.122717,2
1.671834,0.052973,-0.091253,2
0.813989,-0.263311,-0.034583,2
0.343415,-0.064523,0.032756,2
0.099869,0.125679,0.299156,2
0.253015,0.215967,0.048795,2
0.715,-0.404419,0.068073,2
2.081082,0.467875,-0.12346,2
1.442816,-0.529872,0.113827,2
1.938397,0.09938,0.111893,2
0.088894,0.042026,-0.011507,2
1.804875,-0.083228,0.089919,2
0.121191,0.112804,0.09155,2
0.672082,-0.362771,0.01644,2
2.119807,0.074905,0.086282,2
1.812739,0.103589,0.072679,2
1.346027,-0.499232,0.265712,2
